Original,Disease,Pathogen
Anthracnose,Anthracnose,
    Colletotrichum musae,,Colletotrichum musae
Armillaria corn rot,Armillaria corn rot,
    Armillaria mellea,,Armillaria mellea
    Armillaria tabescens,,Armillaria tabescens
Bacterial wilt,Bacterial wilt,
    Pseudomonas solanacearum,,Pseudomonas solanacearum
Black cross,Black cross,
    Phyllachora musicola,,Phyllachora musicola
Black leaf streak,Black leaf streak,
black Sigatoka,black Sigatoka,
    Mycosphaerella fijiensis,,Mycosphaerella fijiensis
    Paracercospora fijiensis,,Paracercospora fijiensis
Black root rot,Black root rot,
    Rosellinia bunodes,,Rosellinia bunodes
Blood disease,Blood disease,
    Pseudomas spp ,,Pseudomas spp
Blue disease,Blue disease,
Bract mosaic,Bract mosaic,
    Banana bract mosaic virus ,,Banana bract mosaic virus
Brown blotch,Brown blotch,
    Pestalotiopsis leprogena,,Pestalotiopsis leprogena
Brown spot,Brown spot,
    Cercospora hayi,,Cercospora hayi
Bugtok,Bugtok,
    Pseudomonas solanacearum,,Pseudomonas solanacearum
Bunchy top,Bunchy top,
    Banana bunchy top virus ,,Banana bunchy top virus
Ceratocystis fruit rot,Ceratocystis fruit rot,
    Ceratocystis paradoxa,,Ceratocystis paradoxa
    Chalara paradoxa,,Chalara paradoxa
Cigar-end,Cigar-end,
    Verticillium theobromae,,Verticillium theobromae
    Trachysphaera fructigena,,Trachysphaera fructigena
Cladosporium speckle,Cladosporium speckle,
    Cladosporium musae,,Cladosporium musae
Corm dry rot,Corm dry rot,
    Junghuhnia vincta,,Junghuhnia vincta
Cordana leaf spot,Cordana leaf spot,
    Cordana johnstonii,,Cordana johnstonii
    Cordana musae,,Cordana musae
Crown rot,Crown rot,
    Fusarium pallidoroseum,,Fusarium pallidoroseum
    Colletotrichum musae,,Colletotrichum musae
    Verticillium theobromae,,Verticillium theobromae
    Fusarium spp ,,Fusarium spp
    Acremonium spp ,,Acremonium spp
Cylindrocladium root rot,Cylindrocladium root rot,
    Cylindrocladium spp ,,Cylindrocladium spp
Damping-off,Damping-off,
    Deightoniella torulosa,,Deightoniella torulosa
"Deightoniella fruit speckle, leaf spot and tip rot","Deightoniella fruit speckle, leaf spot and tip rot",
    Deightoniella torulosa,,Deightoniella torulosa
Diamond spot,Diamond spot,
    Cercospora hayi ,,Cercospora hayi
Dwarf Cavendish tip rot,Dwarf Cavendish tip rot,
    Nattrassia mangiferae,,Nattrassia mangiferae
    Hendersonula toruloidea,,Hendersonula toruloidea
Dwarfism,Dwarfism,
Elephantiasis,Elephantiasis,
Eyespot,Eyespot,
    Dreschslera gigantea,,Dreschslera gigantea
Finger tip rot,Finger tip rot,
gumming,gumming,
    Pseudomas spp ,,Pseudomas spp
Fruit chimera,Fruit chimera,
Fruit freckle (freckle),Fruit freckle (freckle),
    Guignardia musae,,Guignardia musae
    Phyllosticta musarum,,Phyllosticta musarum
Fruit rot,Fruit rot,
    Botryosphaeria ribis,,Botryosphaeria ribis
Fungal root-rot,Fungal root-rot,
    Fusarium solani,,Fusarium solani
    Nectria haematococca,,Nectria haematococca
    Fusarium oxysporum,,Fusarium oxysporum
    Rhizoctonia spp ,,Rhizoctonia spp
Fungal scald,Fungal scald,
    Colletotrichum musae,,Colletotrichum musae
Fusarium wilt,Fusarium wilt,
Panama disease,Panama disease,
    Fusarium oxysporum f. sp. cubense,,Fusarium oxysporum f. sp. cubense
	Fusarium oxysporum,,Fusarium oxysporum
	Fusarium odoratissimum,,Fusarium odoratissimum
Fused fingers,Fused fingers,
Giantism,Giantism,
Heart leaf unfurling disorder,Heart leaf unfurling disorder,
High mat,High mat,
Javanese vasular wilt,Javanese vasular wilt,
    Pseudomas spp ,,Pseudomas spp
Leaf edge chlorosis,Leaf edge chlorosis,
Leaf rust,Leaf rust,
    Uredo musae,,Uredo musae
    Uromyces musae,,Uromyces musae
Leaf speckle,Leaf speckle,
    Acrodontium simplex,,Acrodontium simplex
Leaf spot,Leaf spot,
    Curvularia eragrostidis,,Curvularia eragrostidis
Leaf spot,Leaf spot,
    Drechslera musae-sapientum,,Drechslera musae-sapientum
Leaf spot,Leaf spot,
    Leptosphaeria musarum,,Leptosphaeria musarum
Leaf spot,Leaf spot,
    Pestalotiopsis disseminata,,Pestalotiopsis disseminata
Main stalk rot,Main stalk rot,
    Ceratocystis paradoxa,,Ceratocystis paradoxa
Malayan leaf spot,Malayan leaf spot,
    Haplobasidion musae,,Haplobasidion musae
Marasmiellus rot,Marasmiellus rot,
    Marasmiellus inoderma,,Marasmiellus inoderma
    Marasmius semiustus,,Marasmius semiustus
Maturity bronzing,Maturity bronzing,
Moko,Moko,
    Pseudomonas solanacearum,,Pseudomonas solanacearum
Mosaic,Mosaic,
    Cucumber mosaic virus ,,Cucumber mosaic virus
Nematode root rot,Nematode root rot,
burrowing nematode,burrowing nematode,
    Radopholus similis,,Radopholus similis
Peduncle rot,Peduncle rot,
    Lasiodiplodia theobromae,,Lasiodiplodia theobromae
    Fusarium pallidoroseum,,Fusarium pallidoroseum
    Fusarium oxysporum,,Fusarium oxysporum
    Verticillium theobromae,,Verticillium theobromae
Pestalotiopsis leaf spot,Pestalotiopsis leaf spot,
    Pestalotiopsis palmarum,,Pestalotiopsis palmarum
Phaeoseptoria leaf spot,Phaeoseptoria leaf spot,
    Phaeoseptoria musae,,Phaeoseptoria musae
Pitting,Pitting,
    Pyricularia grisea,,Pyricularia grisea
Pseudostem heart rot,Pseudostem heart rot,
    Fusarium moniliforme,,Fusarium moniliforme
    Gibberella fujikuroi,,Gibberella fujikuroi
Rayadilla,Rayadilla,
Rhizome rot,Rhizome rot,
    Erwinia carotovora,,Erwinia carotovora
    Erwinia chrysanthemi,,Erwinia chrysanthemi
Root & rhizome rot,Root & rhizome rot,
    Cylindrocarpon musae,,Cylindrocarpon musae
Root-knot,Root-knot,
    Meloidogyne arenaria,,Meloidogyne arenaria
    Meloidogyne incognita,,Meloidogyne incognita
    Meloidogyne javanica,,Meloidogyne javanica
Root-lesion,Root-lesion,
    Pratylenchus coffeae,,Pratylenchus coffeae
    Pratylenchus goodeyi,,Pratylenchus goodeyi
    Pratylenchus brachyurus,,Pratylenchus brachyurus
    Pratylenchus reniformia,,Pratylenchus reniformia
Rosetting,Rosetting,
Roxana,Roxana,
Sclerotinia fruit rot,Sclerotinia fruit rot,
    Sclerotinia sclerotiorum,,Sclerotinia sclerotiorum
Sheath rot,Sheath rot,
    Nectria foliicola,,Nectria foliicola
Sigatoka,Sigatoka,
yellow Sigatoka,yellow Sigatoka,
    Mycosphaerella musicola,,Mycosphaerella musicola
    Pseudocercospora musae,,Pseudocercospora musae
Sooty mold,Sooty mold,
    Limacinula tenuis,,Limacinula tenuis
Speckle,Speckle,
    Mycosphaerella musae,,Mycosphaerella musae
Spike leaf,Spike leaf,
Spiral nematode root damage,Spiral nematode root damage,
    Helicotylenchus multicinctus,,Helicotylenchus multicinctus
    Helicotylenchus dihystera,,Helicotylenchus dihystera
Squirter,Squirter,
black end disease,black end disease,
    Nigrospora sphaerica,,Nigrospora sphaerica
Stem-end rot,Stem-end rot,
    Colletotrichum musae,,Colletotrichum musae
Streak,Streak,
    Banana streak virus ,,Banana streak virus
Taiwan marginal scorch,Taiwan marginal scorch,
Trachysphaera finger rot,Trachysphaera finger rot,
    Trachysphaera frutigena,,Trachysphaera frutigena
Tropical speckle,Tropical speckle,
    Ramichloridium musae,,Ramichloridium musae
    Veronaea musae,,Veronaea musae
    Periconiella musae,,Periconiella musae
Verticillium tip rot,Verticillium tip rot,
    Verticillium theobromae,,Verticillium theobromae
Yellow mat,Yellow mat,
Yellow pulp,Yellow pulp,
