Original,Disease,Pathogen
Phymatotrichum root rot,Phymatotrichum root rot,
Cotton root rot,Cotton root rot,
Texas root rot,Texas root rot,
    Phymatotrichopsis omnivore,,Phymatotrichopsis omnivore
    Phymatotrichum omnivorum ,,Phymatotrichum omnivorum
Pseudocercospora leaf spot,Pseudocercospora leaf spot,
    Pseudocercospora timorensis,,Pseudocercospora timorensis
    Cercospora batatas,,Cercospora batatas
	Cercospora batatae,,Cercospora batatae
	Cercospora timorensis ,,Cercospora timorensis
Punky rot,Punky rot,
    Trichoderma koningii,,Trichoderma koningii
    Acrostalagmus koningii,,Acrostalagmus koningii
Red rust,Red rust,
    Coleosporium ipomoeae,,Coleosporium ipomoeae
Rhizoctonia stem canker,Rhizoctonia stem canker,
    Rhizoctonia solani,,Rhizoctonia solani
    Thanatephorus cucumeris,,Thanatephorus cucumeris
Rhizopus soft rot,Rhizopus soft rot,
Soft rot,Soft rot,
Ring rotCollar rot,Ring rotCollar rot,
    Rhizopus oryzae ,,Rhizopus oryzae
    Rhizopus stolonifera ,,Rhizopus stolonifera
    Rhizopus nigricans,,Rhizopus nigricans
Sclerotial blight,Sclerotial blight,
    Sclerotium rolfsii,,Sclerotium rolfsii
    Athelia rolfsii ,,Athelia rolfsii
Sclerotinia rot,Sclerotinia rot,
Pink rot,Pink rot,
    Sclerotinia minor,,Sclerotinia minor
    Sclerotinia sclerotiorum,,Sclerotinia sclerotiorum
Scurf,Scurf,
    Monilochaetes infuscans,,Monilochaetes infuscans
Septoria leaf spot,Septoria leaf spot,
    Septoria bataticola,,Septoria bataticola
Slime molds,Slime molds,
    Fuligo violacea,,Fuligo violacea
    Physarum plumbeum ,,Physarum plumbeum
    Stemonitis spp,,Stemonitis spp
Violet root rot,Violet root rot,
    Helicobasidium mompa,,Helicobasidium mompa
White rust,White rust,
Leaf mold,Leaf mold,
Blister rust,Blister rust,
    Albugo ipomoeae-panduratae,,Albugo ipomoeae-panduratae
Brown ring,Brown ring,
Stem nematode,Stem nematode,
    Ditylenchus spp,,Ditylenchus spp
    Ditylenchus destructor,,Ditylenchus destructor
    Ditylenchus dipsaci,,Ditylenchus dipsaci
Burrowing nematode,Burrowing nematode,
    Radopholus similis,,Radopholus similis
Lesion nematode,Lesion nematode,
    Pratylenchus spp ,,Pratylenchus spp
    Pratylenchus brachyurus,,Pratylenchus brachyurus
    Pratylenchus coffeae,,Pratylenchus coffeae
Reniform nematode,Reniform nematode,
    Rotylenchulus spp ,,Rotylenchulus spp
    Rotylenchulus borealis,,Rotylenchulus borealis
    Rotylenchulus reniformis,,Rotylenchulus reniformis
    Rotylenchulus variabilis,,Rotylenchulus variabilis
Root-knot nematode,Root-knot nematode,
    Meloidogyne spp,,Meloidogyne spp
    Meloidogyne arenaria,,Meloidogyne arenaria
    Meloidogyne cruciani,,Meloidogyne cruciani
    Meloidogyne enterolobii,,Meloidogyne enterolobii
    Meloidogyne hapla,,Meloidogyne hapla
    Meloidogyne incognita,,Meloidogyne incognita
    Meloidogyne javanica,,Meloidogyne javanica
    Meloidogyne konaensis,,Meloidogyne konaensis
    Meloidogyne megadora,,Meloidogyne megadora
Spiral nematode,Spiral nematode,
    Helicotylenchus spp ,,Helicotylenchus spp
    Helicotylenchus dihystera,,Helicotylenchus dihystera
Sting nematode,Sting nematode,
    Belonolaimus longicaudatus,,Belonolaimus longicaudatus
Stubby-root nematodes,Stubby-root nematodes,
    Paratrichodorus christei,,Paratrichodorus christei
    Paratrichodorus minor,,Paratrichodorus minor
    Trichodorus spp,,Trichodorus spp
Chlorotic dwarf disease complex,Chlorotic dwarf disease complex,
    Sweet potato chlorotic stunt virus,,Sweet potato chlorotic stunt virus
	SPCSV,,SPCSV
